sim.id,measurement,method,variable,component,value
1,mean,truth,tau,-1,0.627061793961654
1,mean,mfvb,tau,-1,0.643001813954612
1,sd,mfvb,tau,-1,0.040505306959222
1,sd,lrvb,tau,-1,0.0408291706935002
1,mean,truth,nu,-1,2.2864217181135
1,mean,mfvb,nu,-1,1.46248300374271
1,sd,mfvb,nu,-1,0.689421099544361
1,sd,lrvb,nu,-1,0.692796590588611
1,mean,truth,beta,1,1.86701407055759
1,mean,mfvb,beta,1,1.99890357076021
1,sd,mfvb,beta,1,0.0591537986817483
1,sd,lrvb,beta,1,0.0807793347305543
1,mean,truth,beta,2,2.40059612346407
1,mean,mfvb,beta,2,2.47840837761301
1,sd,mfvb,beta,2,0.0555428773571865
1,sd,lrvb,beta,2,0.055679287115285
1,mean,truth,beta,3,2.35343762209228
1,mean,mfvb,beta,3,2.28934266980829
1,sd,mfvb,beta,3,0.0545984024861805
1,sd,lrvb,beta,3,0.0547963867108886
1,mean,truth,gamma,1,-0.705298692520724
1,mean,mfvb,gamma,1,-0.753196326784993
1,sd,mfvb,gamma,1,0.0926899107760028
1,sd,lrvb,gamma,1,0.1026456028043
1,mean,truth,gamma,2,-0.118481085545926
1,mean,mfvb,gamma,2,-0.14134879573905
1,sd,mfvb,gamma,2,0.0897780682254074
1,sd,lrvb,gamma,2,0.0962092766932687
1,mean,truth,gamma,3,-0.961731435119897
1,mean,mfvb,gamma,3,-1.00855317288923
1,sd,mfvb,gamma,3,0.0958004034463686
1,sd,lrvb,gamma,3,0.104561610208754
1,mean,truth,gamma,4,0.504965368902998
1,mean,mfvb,gamma,4,0.384909048326221
1,sd,mfvb,gamma,4,0.101381296184684
1,sd,lrvb,gamma,4,0.107518106344536
1,mean,truth,gamma,5,0.564614177233877
1,mean,mfvb,gamma,5,0.598467206433759
1,sd,mfvb,gamma,5,0.0838367536406846
1,sd,lrvb,gamma,5,0.0916336231289131
1,mean,mcmc,beta,1,1.87973621971988
1,sd,mcmc,beta,1,0.0788972069607116
1,effsize,mcmc,beta,1,1700
1,mean,mcmc,beta,2,2.41038340924379
1,sd,mcmc,beta,2,0.0536996762399194
1,effsize,mcmc,beta,2,1823.32138497334
1,mean,mcmc,beta,3,2.22983173040068
1,sd,mcmc,beta,3,0.0545598919341364
1,effsize,mcmc,beta,3,1780.44409253953
1,mean,mcmc,tau,-1,0.636088159824397
1,sd,mcmc,tau,-1,0.0420634057188146
1,effsize,mcmc,tau,-1,1700
1,mean,mcmc,nu,-1,2.36243729876391
1,sd,mcmc,nu,-1,1.34084602199915
1,effsize,mcmc,nu,-1,1881.62387569936
1,mean,mcmc,gamma,1,-0.695030647724004
1,sd,mcmc,gamma,1,0.106006937238254
1,effsize,mcmc,gamma,1,1700
1,mean,mcmc,gamma,2,-0.0843805506749824
1,sd,mcmc,gamma,2,0.0959595816066021
1,effsize,mcmc,gamma,2,1700
1,mean,mcmc,gamma,3,-0.944972131284569
1,sd,mcmc,gamma,3,0.103015303737579
1,effsize,mcmc,gamma,3,1700
1,mean,mcmc,gamma,4,0.431909373635105
1,sd,mcmc,gamma,4,0.106845483256761
1,effsize,mcmc,gamma,4,1700
