sim.id,measurement,method,variable,component,value
1,mean,truth,tau,-1,0.600240599346642
1,mean,mfvb,tau,-1,0.534255197797808
1,sd,mfvb,tau,-1,0.0336549140480148
1,sd,lrvb,tau,-1,0.0339226222616707
1,mean,truth,nu,-1,1.81824445053103
1,mean,mfvb,nu,-1,1.67344429295971
1,sd,mfvb,nu,-1,0.788869204993161
1,sd,lrvb,nu,-1,0.801790695555631
1,mean,truth,beta,1,0.660323570976716
1,mean,mfvb,beta,1,0.510994110697251
1,sd,mfvb,beta,1,0.065083297787772
1,sd,lrvb,beta,1,0.0833245508874576
1,mean,truth,beta,2,1.90572284603966
1,mean,mfvb,beta,2,1.90008409796279
1,sd,mfvb,beta,2,0.0617777032219224
1,sd,lrvb,beta,2,0.0849394824079229
1,mean,truth,beta,3,2.51237558127874
1,mean,mfvb,beta,3,2.59554947294758
1,sd,mfvb,beta,3,0.0644373500661145
1,sd,lrvb,beta,3,0.0646564710194884
1,mean,truth,gamma,1,-0.220536394501751
1,mean,mfvb,gamma,1,-0.371536935590451
1,sd,mfvb,gamma,1,0.163812213116702
1,sd,lrvb,gamma,1,0.188725783274822
1,mean,truth,gamma,2,-0.310808724733059
1,mean,mfvb,gamma,2,-0.140872970905919
1,sd,mfvb,gamma,2,0.146994044391178
1,sd,lrvb,gamma,2,0.166122864420071
1,mean,truth,gamma,3,-0.495091303545233
1,mean,mfvb,gamma,3,-0.275588740727779
1,sd,mfvb,gamma,3,0.151800030203293
1,sd,lrvb,gamma,3,0.172945447522454
1,mean,truth,gamma,4,-1.03808913758736
1,mean,mfvb,gamma,4,-1.01328847017095
1,sd,mfvb,gamma,4,0.139475267221506
1,sd,lrvb,gamma,4,0.16917455548009
1,mean,truth,gamma,5,-0.267790286254771
1,mean,mfvb,gamma,5,0.0548066296844369
1,sd,mfvb,gamma,5,0.153622285690594
1,sd,lrvb,gamma,5,0.177945905498369
1,mean,mcmc,beta,1,0.427025645675587
1,sd,mcmc,beta,1,0.0804551246516784
1,effsize,mcmc,beta,1,1700
1,mean,mcmc,beta,2,1.75047463819661
1,sd,mcmc,beta,2,0.0804790537234068
1,effsize,mcmc,beta,2,1700
1,mean,mcmc,beta,3,2.4847173365657
1,sd,mcmc,beta,3,0.0662613927669726
1,effsize,mcmc,beta,3,1700
1,mean,mcmc,tau,-1,0.525953453959897
1,sd,mcmc,tau,-1,0.033911091622039
1,effsize,mcmc,tau,-1,1700.00000000001
1,mean,mcmc,nu,-1,3.80551052888652
1,sd,mcmc,nu,-1,2.24490586059448
1,effsize,mcmc,nu,-1,1700
1,mean,mcmc,gamma,1,-0.195297652553434
1,sd,mcmc,gamma,1,0.172601797859487
1,effsize,mcmc,gamma,1,1700
1,mean,mcmc,gamma,2,-0.00696725406335543
1,sd,mcmc,gamma,2,0.167289465850077
1,effsize,mcmc,gamma,2,1766.90997561428
1,mean,mcmc,gamma,3,-0.127718682874724
1,sd,mcmc,gamma,3,0.171456309296902
1,effsize,mcmc,gamma,3,1700
1,mean,mcmc,gamma,4,-0.816282479445656
1,sd,mcmc,gamma,4,0.162958324014878
1,effsize,mcmc,gamma,4,1700
1,mean,mcmc,gamma,5,0.186309664597261
1,sd,mcmc,gamma,5,0.174367558356512
1,effsize,mcmc,gamma,5,1700
2,mean,truth,tau,-1,0.748353305251207
2,mean,mfvb,tau,-1,0.780057758044869
2,sd,mfvb,tau,-1,0.0491390199060314
2,sd,lrvb,tau,-1,0.0495297452335482
2,mean,truth,nu,-1,3.60449945500708
2,mean,mfvb,nu,-1,1.57011568044334
2,sd,mfvb,nu,-1,0.740159629925879
2,sd,lrvb,nu,-1,0.748240143362443
2,mean,truth,beta,1,2.60179702582935
2,mean,mfvb,beta,1,2.59034122009481
2,sd,mfvb,beta,1,0.0538653826397255
2,sd,lrvb,beta,1,0.0693063366210322
2,mean,truth,beta,2,2.55532997491877
2,mean,mfvb,beta,2,2.47141026933915
2,sd,mfvb,beta,2,0.0511292143000127
2,sd,lrvb,beta,2,0.0707377151922534
2,mean,truth,beta,3,1.35555541035967
2,mean,mfvb,beta,3,1.3843662619733
2,sd,mfvb,beta,3,0.0533306787752597
2,sd,lrvb,beta,3,0.0535135482689663
2,mean,truth,gamma,1,0.0278168948223548
2,mean,mfvb,gamma,1,0.216150781070055
2,sd,mfvb,gamma,1,0.136669180901288
2,sd,lrvb,gamma,1,0.157695942984773
2,mean,truth,gamma,2,0.0666768134546821
2,mean,mfvb,gamma,2,-0.0118260281052537
2,sd,mfvb,gamma,2,0.12244335146185
2,sd,lrvb,gamma,2,0.138681025974234
2,mean,truth,gamma,3,-0.0990447271165659
2,mean,mfvb,gamma,3,0.0188330295705556
2,sd,mfvb,gamma,3,0.126501695703073
2,sd,lrvb,gamma,3,0.144315771729411
2,mean,truth,gamma,4,1.14276553124153
2,mean,mfvb,gamma,4,1.25786026662269
2,sd,mfvb,gamma,4,0.116104609684309
2,sd,lrvb,gamma,4,0.141146456611814
2,mean,truth,gamma,5,0.0684217140718641
2,mean,mfvb,gamma,5,0.151937683133651
2,sd,mfvb,gamma,5,0.128041872088647
2,sd,lrvb,gamma,5,0.149053378623329
2,mean,mcmc,beta,1,2.43328534748405
2,sd,mcmc,beta,1,0.0686535829260288
2,effsize,mcmc,beta,1,1700
2,mean,mcmc,beta,2,2.31077849923602
2,sd,mcmc,beta,2,0.0712917115090291
2,effsize,mcmc,beta,2,1700
2,mean,mcmc,beta,3,1.34548593231172
2,sd,mcmc,beta,3,0.0527023665016983
2,effsize,mcmc,beta,3,1700
2,mean,mcmc,tau,-1,0.769670000625783
2,sd,mcmc,tau,-1,0.0481101401080165
2,effsize,mcmc,tau,-1,1700
2,mean,mcmc,nu,-1,1.94327447410774
2,sd,mcmc,nu,-1,1.11848870092036
2,effsize,mcmc,nu,-1,1700
2,mean,mcmc,gamma,1,0.435961794622585
2,sd,mcmc,gamma,1,0.163622068367388
2,effsize,mcmc,gamma,1,1969.54552221698
2,mean,mcmc,gamma,2,0.163473463246035
2,sd,mcmc,gamma,2,0.14185552603069
2,effsize,mcmc,gamma,2,1700
2,mean,mcmc,gamma,3,0.210160448833029
2,sd,mcmc,gamma,3,0.145448711128257
2,effsize,mcmc,gamma,3,1700
2,mean,mcmc,gamma,4,1.46229198918006
2,sd,mcmc,gamma,4,0.142474802400289
2,effsize,mcmc,gamma,4,1816.58910778308
2,mean,mcmc,gamma,5,0.351773131363602
2,sd,mcmc,gamma,5,0.146291301203155
2,effsize,mcmc,gamma,5,1700
3,mean,truth,tau,-1,0.291648271645034
3,mean,mfvb,tau,-1,0.305859256440562
3,sd,mfvb,tau,-1,0.0192673221125919
3,sd,lrvb,tau,-1,0.0194205754939052
3,mean,truth,nu,-1,2.18769713162602
3,mean,mfvb,nu,-1,1.20161010648937
3,sd,mfvb,nu,-1,0.566444436427284
3,sd,lrvb,nu,-1,0.579288960679851
3,mean,truth,beta,1,0.261037682825028
3,mean,mfvb,beta,1,0.114382159828406
3,sd,mfvb,beta,1,0.086003065406635
3,sd,lrvb,beta,1,0.109147170939748
3,mean,truth,beta,2,0.956400164105977
3,mean,mfvb,beta,2,0.910085783429433
3,sd,mfvb,beta,2,0.0816362148886091
3,sd,lrvb,beta,2,0.111087664307457
3,mean,truth,beta,3,1.45817632298339
3,mean,mfvb,beta,3,1.49802473169967
3,sd,mfvb,beta,3,0.0851498429506638
3,sd,lrvb,beta,3,0.0854335156540738
3,mean,truth,gamma,1,-0.393670248530402
3,mean,mfvb,gamma,1,-0.572626640114805
3,sd,mfvb,gamma,1,0.215275577943691
3,sd,lrvb,gamma,1,0.246922380165984
3,mean,truth,gamma,2,1.20447397065449
3,mean,mfvb,gamma,2,1.31791846600774
3,sd,mfvb,gamma,2,0.193386529589668
3,sd,lrvb,gamma,2,0.21858586782615
3,mean,truth,gamma,3,0.278355112045137
3,mean,mfvb,gamma,3,-0.087817833003217
3,sd,mfvb,gamma,3,0.1996488993852
3,sd,lrvb,gamma,3,0.226068872383879
3,mean,truth,gamma,4,-1.09774404629165
3,mean,mfvb,gamma,4,-1.07516073288101
3,sd,mfvb,gamma,4,0.183578133559572
3,sd,lrvb,gamma,4,0.220744608832014
3,mean,truth,gamma,5,-0.623399118325277
3,mean,mfvb,gamma,5,-0.251678409332806
3,sd,mfvb,gamma,5,0.202021863081089
3,sd,lrvb,gamma,5,0.233239077983294
3,mean,mcmc,beta,1,0.0686854249694575
3,sd,mcmc,beta,1,0.104444678621103
3,effsize,mcmc,beta,1,1700
3,mean,mcmc,beta,2,0.802388885511572
3,sd,mcmc,beta,2,0.10237845087527
3,effsize,mcmc,beta,2,1572.21424663722
3,mean,mcmc,beta,3,1.39662888247005
3,sd,mcmc,beta,3,0.0834930077101201
3,effsize,mcmc,beta,3,1700
3,mean,mcmc,tau,-1,0.304897560732302
3,sd,mcmc,tau,-1,0.0190961990132395
3,effsize,mcmc,tau,-1,1700
3,mean,mcmc,nu,-1,1.65568236208038
3,sd,mcmc,nu,-1,0.947762441025681
3,effsize,mcmc,nu,-1,1700
3,mean,mcmc,gamma,1,-0.455147155545294
3,sd,mcmc,gamma,1,0.24163444650387
3,effsize,mcmc,gamma,1,1700
3,mean,mcmc,gamma,2,1.38560535166776
3,sd,mcmc,gamma,2,0.216102089014321
3,effsize,mcmc,gamma,2,1700
3,mean,mcmc,gamma,3,-0.00263903653302049
3,sd,mcmc,gamma,3,0.226986115921987
3,effsize,mcmc,gamma,3,1700
3,mean,mcmc,gamma,4,-0.945727208525728
3,sd,mcmc,gamma,4,0.214141434361547
3,effsize,mcmc,gamma,4,1700
3,mean,mcmc,gamma,5,-0.15238433766449
3,sd,mcmc,gamma,5,0.220868024252668
3,effsize,mcmc,gamma,5,1700
4,mean,truth,tau,-1,0.844568216466802
4,mean,mfvb,tau,-1,0.879550522570378
