n,p,k,variable,value
2500,2,3,vb,3.43280982971191
2500,3,3,vb,1.19460425376892
2500,4,3,vb,0.580427360534668
2500,5,3,vb,0.604641485214233
5000,2,3,vb,8.20728578567505
5000,3,3,vb,2.17720160484314
5000,4,3,vb,1.38977384567261
5000,5,3,vb,1.39646697044373
10000,2,3,vb,16.4135905265808
10000,3,3,vb,6.09526872634888
10000,4,3,vb,3.22673153877258
10000,5,3,vb,2.59442028999329
25000,2,3,vb,44.0185631752014
25000,3,3,vb,12.1848126411438
25000,4,3,vb,7.43220310211182
25000,5,3,vb,6.06220302581787
50000,2,3,vb,88.3006640434265
50000,3,3,vb,23.4240839004517
50000,4,3,vb,13.7063943862915
50000,5,3,vb,12.590714597702
1e+05,2,3,vb,162.907894515991
1e+05,3,3,vb,50.0751495838165
1e+05,4,3,vb,26.1298027515411
1e+05,5,3,vb,20.5142983913422
2500,2,3,lrvb,0.0376577377319336
2500,3,3,lrvb,0.115442800521851
2500,4,3,lrvb,0.119996500015259
2500,5,3,lrvb,0.23314356803894
5000,2,3,lrvb,0.0941527843475342
5000,3,3,lrvb,0.193042182922363
5000,4,3,lrvb,0.304822731018066
5000,5,3,lrvb,0.577583408355713
10000,2,3,lrvb,0.172279453277588
10000,3,3,lrvb,0.458352994918823
10000,4,3,lrvb,0.639148664474487
10000,5,3,lrvb,1.10687947273254
25000,2,3,lrvb,0.484278869628906
25000,3,3,lrvb,0.965114164352417
25000,4,3,lrvb,1.53951597213745
25000,5,3,lrvb,2.5241201877594
50000,2,3,lrvb,0.913484191894531
50000,3,3,lrvb,1.72424325942993
50000,4,3,lrvb,3.10503115653992
50000,5,3,lrvb,4.92420363426208
1e+05,2,3,lrvb,1.84417328834534
1e+05,3,3,lrvb,3.83441433906555
1e+05,4,3,lrvb,5.80584902763367
1e+05,5,3,lrvb,7.9904420375824
2500,2,3,mle,6.94486408233643
2500,3,3,mle,16.947278881073
2500,4,3,mle,39.9284128189087
2500,5,3,mle,103.390022087097
5000,2,3,mle,15.5942250728607
5000,3,3,mle,37.6079582691193
5000,4,3,mle,90.2612574577332
5000,5,3,mle,213.229662227631
10000,2,3,mle,30.742312669754
10000,3,3,mle,91.1515813350677
10000,4,3,mle,189.122469520569
10000,5,3,mle,400.099057912827
25000,2,3,mle,74.1076473236084
25000,3,3,mle,228.309208631516
25000,4,3,mle,492.383355712891
25000,5,3,mle,959.485797119141
50000,2,3,mle,167.417325258255
50000,3,3,mle,413.482839536667
50000,4,3,mle,946.298207044601
50000,5,3,mle,1843.32236814499
1e+05,2,3,mle,280.095019721985
1e+05,3,3,mle,780.231142663956
1e+05,4,3,mle,1505.30051465034
1e+05,5,3,mle,2949.36290025711
2500,2,3,mle.hess,4.92170872688293
2500,3,3,mle.hess,14.8232956886292
2500,4,3,mle.hess,37.5531435012817
2500,5,3,mle.hess,100.429677248001
5000,2,3,mle.hess,11.1311783313751
5000,3,3,mle.hess,33.0377128124237
5000,4,3,mle.hess,85.1488283634186
5000,5,3,mle.hess,205.928425502777
10000,2,3,mle.hess,22.1272080898285
10000,3,3,mle.hess,79.2936521053314
10000,4,3,mle.hess,178.282796621323
10000,5,3,mle.hess,388.068550872803
25000,2,3,mle.hess,53.3498617172241
25000,3,3,mle.hess,203.055194473267
25000,4,3,mle.hess,466.441977882385
25000,5,3,mle.hess,930.590491247177
50000,2,3,mle.hess,116.714867067337
50000,3,3,mle.hess,368.427074146271
50000,4,3,mle.hess,892.753298473358
50000,5,3,mle.hess,1779.94273366928
1e+05,2,3,mle.hess,201.126593923569
1e+05,3,3,mle.hess,686.310031986237
1e+05,4,3,mle.hess,1413.63402385712
1e+05,5,3,mle.hess,2857.58135581017
2500,2,3,gibbs,55.7975658893585
2500,3,3,gibbs,54.1465401172638
2500,4,3,gibbs,55.2908215522766
2500,5,3,gibbs,72.256671333313
5000,2,3,gibbs,109.517933416367
5000,3,3,gibbs,112.160902261734
5000,4,3,gibbs,118.737706708908
5000,5,3,gibbs,116.990375423431
10000,2,3,gibbs,197.184715127945
10000,3,3,gibbs,200.490300321579
10000,4,3,gibbs,201.913455152512
10000,5,3,gibbs,197.476660919189
25000,2,3,gibbs,477.039466762543
25000,3,3,gibbs,479.318870782852
25000,4,3,gibbs,487.862643814087
25000,5,3,gibbs,474.590182209015
50000,2,3,gibbs,849.224720001221
50000,3,3,gibbs,900.190820884705
50000,4,3,gibbs,902.756687021256
50000,5,3,gibbs,897.253731060028
1e+05,2,3,gibbs,1642.69384102821
1e+05,3,3,gibbs,1645.77169141769
1e+05,4,3,gibbs,1540.67986311913
1e+05,5,3,gibbs,1460.71370716095
2500,2,3,gibbs.effsize,92.6914075785693
2500,3,3,gibbs.effsize,521.679459439156
2500,4,3,gibbs.effsize,2051.58098232361
2500,5,3,gibbs.effsize,3506.41769753114
5000,2,3,gibbs.effsize,89.0920929109626
5000,3,3,gibbs.effsize,536.978237527194
5000,4,3,gibbs.effsize,1970.62794932762
5000,5,3,gibbs.effsize,3650.17585107541
