n,p,k,variable,value
5000,2,2,vb,1.15084087848663
5000,3,2,vb,0.574859857559204
5000,4,2,vb,0.471518635749817
5000,5,2,vb,0.676169872283936
5000,7,2,vb,0.876820802688599
5000,8,2,vb,1.01844704151154
5000,9,2,vb,1.37939476966858
5000,10,2,vb,2.06702518463135
5000,12,2,vb,2.99142181873322
5000,15,2,vb,6.37318706512451
5000,18,2,vb,10.8147240877151
5000,22,2,vb,24.9533982276917
5000,2,2,lrvb,0.0490758419036865
5000,3,2,lrvb,0.0738508701324463
5000,4,2,lrvb,0.15010392665863
5000,5,2,lrvb,0.334145188331604
5000,7,2,lrvb,0.628189086914062
5000,8,2,lrvb,0.794455528259277
5000,9,2,lrvb,1.16554915904999
5000,10,2,lrvb,1.76941061019897
5000,12,2,lrvb,2.72618663311005
5000,15,2,lrvb,6.10649752616882
5000,18,2,lrvb,10.5371481180191
5000,22,2,lrvb,24.5541895627975
5000,2,2,gibbs,97.7168370485306
5000,3,2,gibbs,98.7981284856796
5000,4,2,gibbs,105.825194358826
5000,5,2,gibbs,114.908620834351
5000,7,2,gibbs,120.807902932167
5000,8,2,gibbs,106.309222817421
5000,9,2,gibbs,115.938415646553
5000,10,2,gibbs,134.962383508682
5000,12,2,gibbs,120.96681034565
5000,15,2,gibbs,149.57193338871
5000,18,2,gibbs,164.148885607719
5000,22,2,gibbs,174.278464317322
5000,2,2,gibbs.effsize,424.952647521445
5000,3,2,gibbs.effsize,1939.23449166001
5000,4,2,gibbs.effsize,4208.65243341811
5000,5,2,gibbs.effsize,4554.65640951387
5000,7,2,gibbs.effsize,5120.90147698863
5000,8,2,gibbs.effsize,4712.26491730375
5000,9,2,gibbs.effsize,5113.04272599513
5000,10,2,gibbs.effsize,5394.95650679805
5000,12,2,gibbs.effsize,5212.17668769894
5000,15,2,gibbs.effsize,5048.79185825962
5000,18,2,gibbs.effsize,4757.39707552276
5000,22,2,gibbs.effsize,4911.06582308995
5000,2,2,lrvb.proportion,0.0426434642886701
5000,3,2,lrvb.proportion,0.128467606776388
5000,4,2,lrvb.proportion,0.31834145095863
5000,5,2,lrvb.proportion,0.494173434854386
5000,7,2,lrvb.proportion,0.716439533582967
5000,8,2,lrvb.proportion,0.78006562528787
5000,9,2,lrvb.proportion,0.844971421292274
5000,10,2,lrvb.proportion,0.856017925352249
5000,12,2,lrvb.proportion,0.911334742575526
5000,15,2,lrvb.proportion,0.958154446710803
5000,18,2,lrvb.proportion,0.97433351350948
5000,22,2,lrvb.proportion,0.984001831684348
5000,2,2,gibbs.scaled,229.947589733747
5000,3,2,gibbs.scaled,50.9469736179801
5000,4,2,gibbs.scaled,25.1446742236394
5000,5,2,gibbs.scaled,25.2288230994388
5000,7,2,gibbs.scaled,23.5911398559475
5000,8,2,gibbs.scaled,22.5601116836718
5000,9,2,gibbs.scaled,22.6750336071147
5000,10,2,gibbs.scaled,25.0163988048133
5000,12,2,gibbs.scaled,23.2085014752356
5000,15,2,gibbs.scaled,29.625292067451
5000,18,2,gibbs.scaled,34.5039278836489
5000,22,2,gibbs.scaled,35.4868923763822
