sim.id,measurement,method,variable,component,value
1,mean,truth,tau,-1,0.203550334112823
1,mean,mfvb,tau,-1,0.218632391664411
1,sd,mfvb,tau,-1,0.0177334286405091
1,sd,lrvb,tau,-1,0.0186363297240497
1,mean,truth,nu,-1,3.69792072615906
1,mean,mfvb,nu,-1,1.26362876840533
1,sd,mfvb,nu,-1,0.306474993159079
1,sd,lrvb,nu,-1,0.435665084147003
1,mean,truth,log_tau,-1,-1.59184196260574
1,mean,mfvb,log_tau,-1,-1.52365661697679
1,sd,mfvb,log_tau,-1,0.0812442988841875
1,sd,lrvb,log_tau,-1,0.0853676047525177
1,mean,truth,log_nu,-1,1.3077706957852
1,mean,mfvb,log_nu,-1,0.204287540976972
1,sd,mfvb,log_nu,-1,0.246145350155633
1,sd,lrvb,log_nu,-1,0.347321791766901
1,mean,truth,beta,1,0.0053308892573074
1,mean,mfvb,beta,1,0.0645969331717131
1,sd,mfvb,beta,1,0.129159725858076
1,sd,lrvb,beta,1,0.200675906411161
1,mean,truth,beta,2,2.19809507900599
1,mean,mfvb,beta,2,2.04530722554481
1,sd,mfvb,beta,2,0.120505290365258
1,sd,lrvb,beta,2,0.124414043748847
1,mean,truth,gamma,1,0.304981379093897
1,mean,mfvb,gamma,1,-0.0274915943470998
1,sd,mfvb,gamma,1,0.523476438801855
1,sd,lrvb,gamma,1,0.534797357598685
1,mean,truth,gamma,2,0.115437020371366
1,mean,mfvb,gamma,2,0.762583200305629
1,sd,mfvb,gamma,2,0.394251759755976
1,sd,lrvb,gamma,2,0.416154203061355
1,mean,truth,gamma,3,-0.833007698070295
1,mean,mfvb,gamma,3,-0.88464077563295
1,sd,mfvb,gamma,3,0.458012740931609
1,sd,lrvb,gamma,3,0.483718674750341
1,mean,truth,gamma,4,0.372009438292424
1,mean,mfvb,gamma,4,-0.388401115289211
1,sd,mfvb,gamma,4,0.521099401771582
1,sd,lrvb,gamma,4,0.534685298306471
1,mean,truth,gamma,5,-0.618905066599335
1,mean,mfvb,gamma,5,-0.961129946944121
1,sd,mfvb,gamma,5,0.4330420267018
1,sd,lrvb,gamma,5,0.462703795950035
1,mean,truth,gamma,6,0.101230320149366
1,mean,mfvb,gamma,6,0.30540303071785
1,sd,mfvb,gamma,6,0.640435527806872
1,sd,lrvb,gamma,6,0.647149589092783
1,mean,truth,gamma,7,-0.462483286319561
1,mean,mfvb,gamma,7,-0.0677531948152561
1,sd,mfvb,gamma,7,0.667159925795718
1,sd,lrvb,gamma,7,0.670297267967071
1,mean,truth,gamma,8,-1.04205997296056
1,mean,mfvb,gamma,8,-0.882821806544182
1,sd,mfvb,gamma,8,0.452687025898969
1,sd,lrvb,gamma,8,0.479473354291844
1,mean,truth,gamma,9,-0.784098315830951
1,mean,mfvb,gamma,9,-0.183330868666665
1,sd,mfvb,gamma,9,0.423722149556205
1,sd,lrvb,gamma,9,0.445780097663299
1,mean,truth,gamma,10,0.475439793358365
1,mean,mfvb,gamma,10,0.896884778846237
1,sd,mfvb,gamma,10,0.556082827307255
1,sd,lrvb,gamma,10,0.576869760141103
1,mean,truth,gamma,11,0.0126627666873994
1,mean,mfvb,gamma,11,0.562245998845378
1,sd,mfvb,gamma,11,0.519091067719077
1,sd,lrvb,gamma,11,0.532309392634212
