sim.id,variable,measurement,method,value
1,mu,mean,truth,1.08325652406747
1,tau,mean,truth,3.60575766734841
1,log_tau,mean,truth,1.28253191990185
1,mu,mean,mfvb,1.11457374168154
1,tau,mean,mfvb,3.55575333866549
1,log_tau,mean,mfvb,1.26658151118072
1,mu,sd,mfvb,0.0245481271274875
1,tau,sd,mfvb,0.223991406133251
1,log_tau,sd,mfvb,0.0630566245743312
1,mu,sd,lrvb,0.0412001358763611
1,tau,sd,lrvb,0.573522659049718
1,log_tau,sd,lrvb,0.161318713368299
1,mu,mean,mcmc,1.11575811282444
1,mu,sd,mcmc,0.0418382585397581
1,mu,effsize,mcmc,1120.3316930549
1,tau,mean,mcmc,3.55217945983265
1,tau,sd,mcmc,0.616033536452321
1,tau,effsize,mcmc,426.556578646339
1,log_tau,mean,mcmc,1.25280233618986
1,log_tau,sd,mcmc,0.171712163610951
2,mu,mean,truth,0.55740207152122
2,tau,mean,truth,2.17693833989215
2,log_tau,mean,truth,0.777919458420956
2,mu,mean,mfvb,0.475161968114934
2,tau,mean,mfvb,2.08349535840688
2,log_tau,mean,mfvb,0.732061504856058
2,mu,sd,mfvb,0.0320685011491094
2,tau,sd,mfvb,0.131247870859571
2,log_tau,sd,mfvb,0.0630566245743312
2,mu,sd,lrvb,0.0517773873533875
2,tau,sd,lrvb,0.280239539745651
2,log_tau,sd,lrvb,0.134533822517527
2,mu,mean,mcmc,0.474250499874679
2,mu,sd,mcmc,0.0515260924025864
2,mu,effsize,mcmc,1450.93922982024
2,tau,mean,mcmc,1.98578224883013
2,tau,sd,mcmc,0.279067550838011
2,tau,effsize,mcmc,664.035127411421
2,log_tau,mean,mcmc,0.676314842788293
2,log_tau,sd,mcmc,0.139047226422708
3,mu,mean,truth,2.78772735178398
3,tau,mean,truth,1.65200753716325
3,log_tau,mean,truth,0.501991237535864
3,mu,mean,mfvb,2.7608111599331
3,tau,mean,mfvb,1.75853135154347
3,log_tau,mean,mfvb,0.562493562109391
3,mu,sd,mfvb,0.0349056513283728
3,tau,sd,mfvb,0.110777062592722
3,log_tau,sd,mfvb,0.0630566245743312
3,mu,sd,lrvb,0.0492486271306806
3,tau,sd,lrvb,0.189004780767333
3,log_tau,sd,lrvb,0.107515437094413
3,mu,mean,mcmc,2.75873023467777
3,mu,sd,mcmc,0.0494265557404507
3,mu,effsize,mcmc,1221.94002632726
3,tau,mean,mcmc,1.72103208774313
3,tau,sd,mcmc,0.180922830503484
3,tau,effsize,mcmc,1124.27051119227
3,log_tau,mean,mcmc,0.537409629223021
3,log_tau,sd,mcmc,0.105157698839354
4,mu,mean,truth,0.821052161368292
4,tau,mean,truth,2.2064898098455
4,log_tau,mean,truth,0.791402931473201
4,mu,mean,mfvb,0.859443241480434
4,tau,mean,mfvb,2.73390469078886
4,log_tau,mean,mfvb,1.00374543773778
4,mu,sd,mfvb,0.0279955212606636
4,tau,sd,mfvb,0.172219807618578
4,log_tau,sd,mfvb,0.0630566245743312
4,mu,sd,lrvb,0.0466133321593124
4,tau,sd,lrvb,0.41645997034182
4,log_tau,sd,lrvb,0.152357436777444
4,mu,mean,mcmc,0.860056612904878
4,mu,sd,mcmc,0.0481185665715443
4,mu,effsize,mcmc,1098.37683760895
4,tau,mean,mcmc,2.7120147328628
4,tau,sd,mcmc,0.43698822877592
4,tau,effsize,mcmc,481.697782915488
4,log_tau,mean,mcmc,0.985094083300246
4,log_tau,sd,mcmc,0.158112961497248
5,mu,mean,truth,2.5573257418504
5,tau,mean,truth,5.23190648556598
5,log_tau,mean,truth,1.65477574044126
5,mu,mean,mfvb,2.59952387045661
5,tau,mean,mfvb,5.13028781334857
5,log_tau,mean,mfvb,1.63317632234013
5,mu,sd,mfvb,0.0204370086156598
5,tau,sd,mfvb,0.323177754959648
5,log_tau,sd,mfvb,0.0630566245743312
5,mu,sd,lrvb,0.0306626972700925
5,tau,sd,lrvb,0.723431489422592
5,log_tau,sd,lrvb,0.141039824277993
5,mu,mean,mcmc,2.5996485417576
5,mu,sd,mcmc,0.0311996232197668
5,mu,effsize,mcmc,1084.54781754983
5,tau,mean,mcmc,5.22331849171939
5,tau,sd,mcmc,0.777334828681992
5,tau,effsize,mcmc,711.599760680992
5,log_tau,mean,mcmc,1.64223493895366
5,log_tau,sd,mcmc,0.147505526723452
6,mu,mean,truth,0.624215247144917
6,tau,mean,truth,4.77880056182546
6,log_tau,mean,truth,1.56418958652715
6,mu,mean,mfvb,0.658621633541503
6,tau,mean,mfvb,4.03125599450778
6,log_tau,mean,mfvb,1.39209254933516
6,mu,sd,mfvb,0.0230544111492098
6,tau,sd,mfvb,0.25394525792157
6,log_tau,sd,mfvb,0.0630566245743312
6,mu,sd,lrvb,0.0443540630469305
6,tau,sd,lrvb,0.749977249446454
6,log_tau,sd,lrvb,0.186061778977184
6,mu,mean,mcmc,0.65622748822872
6,mu,sd,mcmc,0.0439043527771618
6,mu,effsize,mcmc,790.140860846112
6,tau,mean,mcmc,4.07286729121097
6,tau,sd,mcmc,0.870267482116161
6,tau,effsize,mcmc,261.150870888621
6,log_tau,mean,mcmc,1.38245163446538
6,log_tau,sd,mcmc,0.208202506453561
7,mu,mean,truth,2.68566395974537
7,tau,mean,truth,1.2313727117959
7,log_tau,mean,truth,0.20812957294076
7,mu,mean,mfvb,2.72284385261907
7,tau,mean,mfvb,1.34133392153079
7,log_tau,mean,mfvb,0.291679143410862
7,mu,sd,mfvb,0.0399663163003394
7,tau,sd,mfvb,0.0844960947967962
7,log_tau,sd,mfvb,0.0630566245743312
7,mu,sd,lrvb,0.0556686211750401
7,tau,sd,lrvb,0.138566101939043
7,log_tau,sd,lrvb,0.103342854263301
7,mu,mean,mcmc,2.72250291186045
7,mu,sd,mcmc,0.0572677997229088
7,mu,effsize,mcmc,1014.06973774822
7,tau,mean,mcmc,1.29699518577783
7,tau,sd,mcmc,0.137850214082674
7,tau,effsize,mcmc,1055.30239644336
7,log_tau,mean,mcmc,0.254439002464499
7,log_tau,sd,mcmc,0.105952982460236
8,mu,mean,truth,2.31437368144769
8,tau,mean,truth,2.62703845821323
8,log_tau,mean,truth,0.965857150190167
8,mu,mean,mfvb,2.28063808509844
8,tau,mean,mfvb,2.94723478377649
8,log_tau,mean,mfvb,1.07888193008672
8,mu,sd,mfvb,0.0269633660772928
8,tau,sd,mfvb,0.185658340314095
8,log_tau,sd,mfvb,0.0630566245743312
8,mu,sd,lrvb,0.039516552980901
8,tau,sd,lrvb,0.377023829490819
8,log_tau,sd,lrvb,0.127955410609192
8,mu,mean,mcmc,2.27970823869169
8,mu,sd,mcmc,0.0397860059256503
8,mu,effsize,mcmc,1242.4767844347
8,tau,mean,mcmc,2.9228080885059
8,tau,sd,mcmc,0.383737271877268
8,tau,effsize,mcmc,748.970139772278
8,log_tau,mean,mcmc,1.06401588807021
8,log_tau,sd,mcmc,0.130598160524065
9,mu,mean,truth,2.43753414785419
9,tau,mean,truth,3.49367002450365
9,log_tau,mean,truth,1.25095276664063
9,mu,mean,mfvb,2.45764207031617
9,tau,mean,mfvb,3.35154028488429
9,log_tau,mean,mfvb,1.2074345874648
9,mu,sd,mfvb,0.0252848951859813
9,tau,sd,mfvb,0.21112719292425
9,log_tau,sd,mfvb,0.0630566245743312
9,mu,sd,lrvb,0.0370125966333974
9,tau,sd,lrvb,0.425399158947296
9,log_tau,sd,lrvb,0.126957517783363
9,mu,mean,mcmc,2.45633361190731
9,mu,sd,mcmc,0.0365348259777741
9,mu,effsize,mcmc,1252.79518171694
9,tau,mean,mcmc,3.37678043733358
9,tau,sd,mcmc,0.442544393458198
9,tau,effsize,mcmc,839.522652649666
9,log_tau,mean,mcmc,1.20841611864137
9,log_tau,sd,mcmc,0.13048721237921
10,mu,mean,truth,2.17426992194201
10,tau,mean,truth,6.69532141100172
10,log_tau,mean,truth,1.90140898560869
10,mu,mean,mfvb,2.19870221599171
10,tau,mean,mfvb,6.23546937357664
10,log_tau,mean,mfvb,1.82826841750854
10,mu,sd,mfvb,0.0185376730381876
10,tau,sd,mfvb,0.392797649291514
10,log_tau,sd,mfvb,0.0630566245743312
10,mu,sd,lrvb,0.0288789261698678
10,tau,sd,lrvb,0.945762537001709
10,log_tau,sd,lrvb,0.151700621713201
10,mu,mean,mcmc,2.19860483746796
10,mu,sd,mcmc,0.0288336069086306
10,mu,effsize,mcmc,1184.3384753387
10,tau,mean,mcmc,6.54423550942418
10,tau,sd,mcmc,1.04722579300012
10,tau,effsize,mcmc,534.285596992496
10,log_tau,mean,mcmc,1.86588323558784
10,log_tau,sd,mcmc,0.159589072190867
11,mu,mean,truth,2.08082682770269
11,tau,mean,truth,1.14837017633068
11,log_tau,mean,truth,0.138343699170222
11,mu,mean,mfvb,2.01732767722613
11,tau,mean,mfvb,1.22242951658513
11,log_tau,mean,mfvb,0.198854846324327
11,mu,sd,mfvb,0.0418646329040282
11,tau,sd,mfvb,0.0770058213378372
11,log_tau,sd,mfvb,0.0630566245743312
11,mu,sd,lrvb,0.0580594720397539
11,tau,sd,lrvb,0.127175071904895
11,log_tau,sd,lrvb,0.104072570805431
11,mu,mean,mcmc,2.01147462499797
11,mu,sd,mcmc,0.0599863438621363
11,mu,effsize,mcmc,1290.53437259267
11,tau,mean,mcmc,1.17565506166103
11,tau,sd,mcmc,0.127867674104903
11,tau,effsize,mcmc,948.064374888717
11,log_tau,mean,mcmc,0.155885744654398
11,log_tau,sd,mcmc,0.109291967235084
12,mu,mean,truth,1.14601207612683
12,tau,mean,truth,3.76085312785556
12,log_tau,mean,truth,1.32464582737113
12,mu,mean,mfvb,1.13359863629265
12,tau,mean,mfvb,4.1335622185607
12,log_tau,mean,mfvb,1.41715411863259
12,mu,sd,mfvb,0.0227679509001239
12,tau,sd,mfvb,0.260389944264857
12,log_tau,sd,mfvb,0.0630566245743312
12,mu,sd,lrvb,0.0392233108948697
12,tau,sd,lrvb,0.731636242453706
12,log_tau,sd,lrvb,0.177021236666972
12,mu,mean,mcmc,1.1347317333802
12,mu,sd,mcmc,0.0387697852494736
12,mu,effsize,mcmc,996.34932878872
12,tau,mean,mcmc,4.25424300461314
12,tau,sd,mcmc,0.864824065679485
12,tau,effsize,mcmc,300.137160970021
12,log_tau,mean,mcmc,1.42847876341751
12,log_tau,sd,mcmc,0.195252495026227
13,mu,mean,truth,0.616116459528349
13,tau,mean,truth,1.35088539096342
13,log_tau,mean,truth,0.300760222635976
13,mu,mean,mfvb,0.639385742856172
13,tau,mean,mfvb,1.8141831098662
13,log_tau,mean,mfvb,0.593649849957602
13,mu,sd,mfvb,0.0343661638099988
13,tau,sd,mfvb,0.114282793843803
13,log_tau,sd,mfvb,0.0630566245743312
13,mu,sd,lrvb,0.0526884468306117
13,tau,sd,lrvb,0.226863867787113
13,log_tau,sd,lrvb,0.125081667890118
13,mu,mean,mcmc,0.639150502403106
13,mu,sd,mcmc,0.0537658806467214
13,mu,effsize,mcmc,1613.51909956845
13,tau,mean,mcmc,1.72704583994203
13,tau,sd,mcmc,0.227924367659788
13,tau,effsize,mcmc,640.829869584437
13,log_tau,mean,mcmc,0.537869938962223
13,log_tau,sd,mcmc,0.130435257735553
14,mu,mean,truth,1.7938298834857
14,tau,mean,truth,1.64277412985271
14,log_tau,mean,truth,0.496386355382354
14,mu,mean,mfvb,1.79047061949374
14,tau,mean,mfvb,1.8987887212488
14,log_tau,mean,mfvb,0.639230728505646
14,mu,sd,mfvb,0.0335918897747049
14,tau,sd,mfvb,0.119612446397111
14,log_tau,sd,mfvb,0.0630566245743312
14,mu,sd,lrvb,0.0485789893244293
