sim.id,variable,measurement,method,value
1,mu,mean,truth,0.856792736706029
1,tau,mean,truth,1.38554488418167
1,log_tau,mean,truth,0.326093480452371
1,mu,mean,mfvb,0.874716972174876
1,tau,mean,mfvb,1.37030252101349
1,log_tau,mean,mfvb,0.313046094485938
1,mu,sd,mfvb,0.038435350094696
1,tau,sd,mfvb,0.0863209450363469
1,log_tau,sd,mfvb,0.0630566245743312
1,mu,sd,lrvb,0.0552228202273818
1,tau,sd,lrvb,0.150074499880519
1,log_tau,sd,lrvb,0.109555234181973
1,mu,mean,mcmc,0.873659490998671
1,mu,sd,mcmc,0.0565999086412708
1,mu,effsize,mcmc,1465.31120597239
1,tau,mean,mcmc,1.29482717912669
1,tau,sd,mcmc,0.146322146080159
1,tau,effsize,mcmc,1058.61674220344
1,log_tau,mean,mcmc,0.252004833799531
1,log_tau,sd,mcmc,0.113055774296459
2,mu,mean,truth,0.133223430947949
2,tau,mean,truth,1.75701632599089
2,log_tau,mean,truth,0.563617101131561
2,mu,mean,mfvb,0.0952187199918053
2,tau,mean,mfvb,1.9510983331447
2,log_tau,mean,mfvb,0.666407022542328
2,mu,sd,mfvb,0.0322113583928417
2,tau,sd,mfvb,0.122907642212703
2,log_tau,sd,mfvb,0.0630566245743312
2,mu,sd,lrvb,0.0533123844586248
2,tau,sd,lrvb,0.270543251094492
2,log_tau,sd,lrvb,0.138690453374708
2,mu,mean,mcmc,0.0966900940799515
2,mu,sd,mcmc,0.0553503087132857
2,mu,effsize,mcmc,1191.9482690365
2,tau,mean,mcmc,1.85814108200473
2,tau,sd,mcmc,0.276722155613707
2,tau,effsize,mcmc,533.195238821023
2,log_tau,mean,mcmc,0.608770957132129
2,log_tau,sd,mcmc,0.146530123482724
3,mu,mean,truth,2.72643172334284
3,tau,mean,truth,5.45899998572592
3,log_tau,mean,truth,1.69726562018484
3,mu,mean,mfvb,2.72062279076818
3,tau,mean,mfvb,4.78152084360914
3,log_tau,mean,mfvb,1.56277322478233
3,mu,sd,mfvb,0.0205768517977212
3,tau,sd,mfvb,0.301207500972903
3,log_tau,sd,mfvb,0.0630566245743312
3,mu,sd,lrvb,0.0301646547306028
3,tau,sd,lrvb,0.659268603971603
3,log_tau,sd,lrvb,0.137907020766102
3,mu,mean,mcmc,2.72140277702528
3,mu,sd,mcmc,0.0310634023633853
3,mu,effsize,mcmc,1477.45117300633
3,tau,mean,mcmc,4.84723426089889
3,tau,sd,mcmc,0.697794049084967
3,tau,effsize,mcmc,645.67181907178
3,log_tau,mean,mcmc,1.56802009418417
3,log_tau,sd,mcmc,0.144683575200866
4,mu,mean,truth,1.4476971214406
4,tau,mean,truth,1.35199159908462
4,log_tau,mean,truth,0.301578763906659
4,mu,mean,mfvb,1.44995857203723
4,tau,mean,mfvb,1.24285687479557
4,log_tau,mean,mfvb,0.215427221688121
4,mu,sd,mfvb,0.040357589704101
4,tau,sd,mfvb,0.0782926239513337
4,log_tau,sd,mfvb,0.0630566245743312
4,mu,sd,lrvb,0.0563508491153215
4,tau,sd,lrvb,0.130339689827934
4,log_tau,sd,lrvb,0.104908619400882
4,mu,mean,mcmc,1.45046323711466
4,mu,sd,mcmc,0.0568111952960809
4,mu,effsize,mcmc,1812.6271821932
4,tau,mean,mcmc,1.19045581615694
4,tau,sd,mcmc,0.126783849951502
4,tau,effsize,mcmc,1179.18258483933
4,log_tau,mean,mcmc,0.168701782967883
4,log_tau,sd,mcmc,0.106211224947785
5,mu,mean,truth,1.00707968708628
5,tau,mean,truth,3.56661378914042
5,log_tau,mean,truth,1.27161662721521
5,mu,mean,mfvb,1.01008196353118
5,tau,mean,mfvb,3.61776564514919
5,log_tau,mean,mfvb,1.28387117094359
5,mu,sd,mfvb,0.0236558623039597
5,tau,sd,mfvb,0.227897814256617
5,log_tau,sd,mfvb,0.0630566245743312
5,mu,sd,lrvb,0.0409854415299679
5,tau,sd,lrvb,0.624763489177188
5,log_tau,sd,lrvb,0.17271601470232
5,mu,mean,mcmc,1.01109285519378
5,mu,sd,mcmc,0.0410429056639462
5,mu,effsize,mcmc,881.701343459814
5,tau,mean,mcmc,3.68042096508273
5,tau,sd,mcmc,0.721143852083006
5,tau,effsize,mcmc,316.133169330221
5,log_tau,mean,mcmc,1.28488913560367
5,log_tau,sd,mcmc,0.188919136319812
6,mu,mean,truth,1.67265875782455
6,tau,mean,truth,1.74675743687602
6,log_tau,mean,truth,0.557761175991681
6,mu,mean,mfvb,1.61243156479245
6,tau,mean,mfvb,1.51162496672851
6,log_tau,mean,mfvb,0.41119976987753
6,mu,sd,mfvb,0.0365948558292855
6,tau,sd,mfvb,0.0952234223228558
6,log_tau,sd,mfvb,0.0630566245743312
6,mu,sd,lrvb,0.0521027082627738
6,tau,sd,lrvb,0.165564966668578
6,log_tau,sd,lrvb,0.109563791025759
6,mu,mean,mcmc,1.61080368295719
6,mu,sd,mcmc,0.0514025515603666
6,mu,effsize,mcmc,1407.6942181367
6,tau,mean,mcmc,1.4656281905777
6,tau,sd,mcmc,0.164171515634014
6,tau,effsize,mcmc,1194.24232840401
6,log_tau,mean,mcmc,0.376048869335171
6,log_tau,sd,mcmc,0.111721479055721
7,mu,mean,truth,2.1432915541103
7,tau,mean,truth,8.06197803423647
7,log_tau,mean,truth,2.08715894008651
7,mu,mean,mfvb,2.15393835525235
7,tau,mean,mfvb,5.62305964658818
7,log_tau,mean,mfvb,1.72489049762794
7,mu,sd,mfvb,0.0189747366878362
7,tau,sd,mfvb,0.354219462670342
7,log_tau,sd,mfvb,0.0630566245743312
7,mu,sd,lrvb,0.0293896466046813
7,tau,sd,lrvb,0.840976905695835
7,log_tau,sd,lrvb,0.149584950972585
7,mu,mean,mcmc,2.15518754420988
7,mu,sd,mcmc,0.0293483853715098
7,mu,effsize,mcmc,1155.31449916276
7,tau,mean,mcmc,5.78696955407794
7,tau,sd,mcmc,0.941844783289597
7,tau,effsize,mcmc,430.870475509071
7,log_tau,mean,mcmc,1.74257658505851
7,log_tau,sd,mcmc,0.161354735295776
8,mu,mean,truth,2.5017869668875
8,tau,mean,truth,4.02430220554841
8,log_tau,mean,truth,1.39235153075992
8,mu,mean,mfvb,2.48076337774712
8,tau,mean,mfvb,4.33171180303447
8,log_tau,mean,mfvb,1.4639773602283
8,mu,sd,mfvb,0.0216187821052258
8,tau,sd,mfvb,0.272872194810275
8,log_tau,sd,mfvb,0.0630566245743312
8,mu,sd,lrvb,0.0319674883990697
8,tau,sd,lrvb,0.597395756851358
8,log_tau,sd,lrvb,0.137940746120394
8,mu,mean,mcmc,2.48025362220114
8,mu,sd,mcmc,0.0318353267632061
8,mu,effsize,mcmc,1142.48856810913
8,tau,mean,mcmc,4.38302435876032
8,tau,sd,mcmc,0.641985818608043
8,tau,effsize,mcmc,675.603346105413
8,log_tau,mean,mcmc,1.46721471722147
8,log_tau,sd,mcmc,0.144830787225835
9,mu,mean,truth,0.0506184347658076
9,tau,mean,truth,1.05347850068821
9,log_tau,mean,truth,0.0520975465438623
9,mu,mean,mfvb,-0.0587239882409817
9,tau,mean,mfvb,1.15411041993157
9,log_tau,mean,mfvb,0.141344408789172
9,mu,sd,mfvb,0.041880261001628
9,tau,sd,mfvb,0.0727021227773157
9,log_tau,sd,mfvb,0.0630566245743312
9,mu,sd,lrvb,0.0600295283319914
9,tau,sd,lrvb,0.121987179690647
9,log_tau,sd,lrvb,0.105735302360436
9,mu,mean,mcmc,-0.0606872806455079
9,mu,sd,mcmc,0.0622514711848481
9,mu,effsize,mcmc,1235.62407360286
9,tau,mean,mcmc,1.08239350572951
9,tau,sd,mcmc,0.120672343853101
9,tau,effsize,mcmc,1094.11864364643
9,log_tau,mean,mcmc,0.0730102069609612
9,log_tau,sd,mcmc,0.111038162213125
10,mu,mean,truth,0.565326765247219
10,tau,mean,truth,3.05997310889311
10,log_tau,mean,truth,1.11840612798225
10,mu,mean,mfvb,0.490954066480483
10,tau,mean,mfvb,2.9534905388336
10,log_tau,mean,mfvb,1.08100226515023
10,mu,sd,mfvb,0.026181135220549
10,tau,sd,mfvb,0.18605241584133
10,log_tau,sd,mfvb,0.0630566245743312
10,mu,sd,lrvb,0.0470377655452523
10,tau,sd,lrvb,0.50183257840824
10,log_tau,sd,lrvb,0.169934891745657
10,mu,mean,mcmc,0.492375708623392
10,mu,sd,mcmc,0.0463623273997574
10,mu,effsize,mcmc,916.808566340962
10,tau,mean,mcmc,2.91843967092536
10,tau,sd,mcmc,0.55073913292164
10,tau,effsize,mcmc,371.564433867487
10,log_tau,mean,mcmc,1.0542513863527
10,log_tau,sd,mcmc,0.181587611152493
11,mu,mean,truth,0.957151222249498
11,tau,mean,truth,2.95256515270798
11,log_tau,mean,truth,1.08267433580881
11,mu,mean,mfvb,0.913274862598671
11,tau,mean,mfvb,2.06219102205265
11,log_tau,mean,mfvb,0.721783581279454
11,mu,sd,mfvb,0.0313318029651069
11,tau,sd,mfvb,0.129905823815748
11,log_tau,sd,mfvb,0.0630566245743312
11,mu,sd,lrvb,0.0486626882365284
11,tau,sd,lrvb,0.263492444249286
