sim.id,variable,measurement,method,value
1,mu,mean,truth,0.530764037994902
1,tau,mean,truth,1.06894948992757
1,log_tau,mean,truth,0.0666763810927089
1,mu,mean,mfvb,0.525905680833443
1,tau,mean,mfvb,1.28085690435018
1,log_tau,mean,mfvb,0.245543871233688
1,mu,sd,mfvb,0.0402715367251047
1,tau,sd,mfvb,0.0806864008088243
1,log_tau,sd,mfvb,0.0630566245743312
1,mu,sd,lrvb,0.0609685170645794
1,tau,sd,lrvb,0.141803592033234
1,log_tau,sd,lrvb,0.11074554132255
1,mu,mean,mcmc,0.527364675997159
1,mu,sd,mcmc,0.0640700403495626
1,mu,effsize,mcmc,1323.10680058
1,tau,mean,mcmc,1.20400492728852
1,tau,sd,mcmc,0.134155564062746
1,tau,effsize,mcmc,1080.16965396138
1,log_tau,mean,mcmc,0.179530271825561
1,log_tau,sd,mcmc,0.110507517163493
1,z_1,mean,mcmc,0.434185360676896
1,z_1,sd,mcmc,0.603820727354406
1,z_2,mean,mcmc,-1.3833596385239
1,z_2,sd,mcmc,0.837721659761476
1,z_3,mean,mcmc,-0.222631341286041
1,z_3,sd,mcmc,0.698269163266522
1,z_4,mean,mcmc,0.01985041490793
1,z_4,sd,mcmc,0.64278740938927
1,z_5,mean,mcmc,-1.0331861580223
1,z_5,sd,mcmc,0.766541559661041
1,z_6,mean,mcmc,-0.928206578620597
1,z_6,sd,mcmc,0.767427685333408
1,z_7,mean,mcmc,1.64043638905915
1,z_7,sd,mcmc,0.394448439363966
1,z_8,mean,mcmc,0.659389375209471
1,z_8,sd,mcmc,0.542872407934012
1,z_9,mean,mcmc,-0.098850980305585
1,z_9,sd,mcmc,0.656406499157828
1,z_10,mean,mcmc,-0.861565419708205
1,z_10,sd,mcmc,0.777994496081318
1,z_11,mean,mcmc,-0.980091546943589
1,z_11,sd,mcmc,0.761662044534568
1,z_12,mean,mcmc,-0.931049108761322
1,z_12,sd,mcmc,0.800056837797521
1,z_13,mean,mcmc,1.18011165034279
1,z_13,sd,mcmc,0.462584419465715
1,z_14,mean,mcmc,-0.426388626030312
1,z_14,sd,mcmc,0.706488227459417
1,z_15,mean,mcmc,0.594764697177338
1,z_15,sd,mcmc,0.574335921700307
1,z_16,mean,mcmc,-0.166766919204902
1,z_16,sd,mcmc,0.681969014076966
1,z_17,mean,mcmc,-0.67754320618099
1,z_17,sd,mcmc,0.755049413403872
1,z_18,mean,mcmc,-0.408490095182891
1,z_18,sd,mcmc,0.720936648587146
1,z_19,mean,mcmc,-0.213710803587315
1,z_19,sd,mcmc,0.700885013838125
1,z_20,mean,mcmc,0.241988303873089
1,z_20,sd,mcmc,0.606807891800946
1,z_21,mean,mcmc,0.760548790928626
1,z_21,sd,mcmc,0.536732059921265
1,z_22,mean,mcmc,-0.00967627467589896
1,z_22,sd,mcmc,0.65222748500546
1,z_23,mean,mcmc,0.759773051547449
1,z_23,sd,mcmc,0.548893222052609
1,z_24,mean,mcmc,-1.00021138390379
1,z_24,sd,mcmc,0.782654554972895
1,z_25,mean,mcmc,0.201445353143081
1,z_25,sd,mcmc,0.640927932025609
1,z_26,mean,mcmc,-0.981641530264042
1,z_26,sd,mcmc,0.788442369954511
1,z_27,mean,mcmc,0.860470187636274
1,z_27,sd,mcmc,0.517126480258896
1,z_28,mean,mcmc,-0.475469438700401
1,z_28,sd,mcmc,0.711830593637708
1,z_29,mean,mcmc,-1.61118585729171
1,z_29,sd,mcmc,0.854030021545009
1,z_30,mean,mcmc,-1.00406503706125
1,z_30,sd,mcmc,0.794273655182474
1,z_31,mean,mcmc,-0.501971833309189
1,z_31,sd,mcmc,0.716338749334634
1,z_32,mean,mcmc,1.0361962294618
1,z_32,sd,mcmc,0.494364678072989
1,z_33,mean,mcmc,-0.436124580520128
1,z_33,sd,mcmc,0.715104094344122
1,z_34,mean,mcmc,1.44836428503844
1,z_34,sd,mcmc,0.420820006769446
1,z_35,mean,mcmc,1.77093497313687
1,z_35,sd,mcmc,0.378050320162139
1,z_36,mean,mcmc,-0.290553075872543
1,z_36,sd,mcmc,0.683406942743672
1,z_37,mean,mcmc,1.29159788619027
1,z_37,sd,mcmc,0.433403983222289
1,z_38,mean,mcmc,-0.0213645614146549
1,z_38,sd,mcmc,0.653788166656615
1,z_39,mean,mcmc,-0.6146019801789
1,z_39,sd,mcmc,0.721936127721819
1,z_40,mean,mcmc,0.620526783948741
