n,p,k,variable,value
5000,2,2,vb,1.14997059106827
5000,3,2,vb,0.494322597980499
5000,4,2,vb,0.452265202999115
5000,5,2,vb,0.44098824262619
5000,7,2,vb,0.812599956989288
5000,8,2,vb,1.03202217817307
5000,9,2,vb,1.42870092391968
5000,10,2,vb,1.86015212535858
5000,12,2,vb,2.88928323984146
5000,15,2,vb,5.44619297981262
5000,18,2,vb,10.3295569419861
5000,22,2,vb,19.7653918266296
5000,2,2,lrvb,0.0406372547149658
5000,3,2,lrvb,0.0688881874084473
5000,4,2,lrvb,0.133701324462891
5000,5,2,lrvb,0.220238864421844
5000,7,2,lrvb,0.587749123573303
5000,8,2,lrvb,0.810636460781097
5000,9,2,lrvb,1.20362478494644
5000,10,2,lrvb,1.61913049221039
5000,12,2,lrvb,2.63507872819901
5000,15,2,lrvb,5.23636972904205
5000,18,2,lrvb,10.0455224514008
5000,22,2,lrvb,19.434096455574
5000,2,2,gibbs,94.2126743197441
5000,3,2,gibbs,97.0518587827682
5000,4,2,gibbs,100.315578341484
5000,5,2,gibbs,97.219701051712
5000,7,2,gibbs,113.772059559822
5000,8,2,gibbs,111.154684185982
5000,9,2,gibbs,120.688902497292
5000,10,2,gibbs,123.773521244526
5000,12,2,gibbs,118.346074879169
5000,15,2,gibbs,133.178483188152
5000,18,2,gibbs,149.524904549122
5000,22,2,gibbs,159.014012515545
5000,2,2,gibbs.effsize,250.932780273021
5000,3,2,gibbs.effsize,2497.10427224554
5000,4,2,gibbs.effsize,4115.31867452019
5000,5,2,gibbs.effsize,4757.83727479974
5000,7,2,gibbs.effsize,4973.51134014059
5000,8,2,gibbs.effsize,4942.99204908558
5000,9,2,gibbs.effsize,5157.74455134617
5000,10,2,gibbs.effsize,5111.25911999609
5000,12,2,gibbs.effsize,4739.68652570304
5000,15,2,gibbs.effsize,4916.01359428882
5000,18,2,gibbs.effsize,4885.1001913699
5000,22,2,gibbs.effsize,4813.20223675307
5000,2,2,lrvb.proportion,0.0353376469194884
5000,3,2,lrvb.proportion,0.139358766299341
5000,4,2,lrvb.proportion,0.295625937118917
5000,5,2,lrvb.proportion,0.499421170755641
5000,7,2,lrvb.proportion,0.723294554125913
5000,8,2,lrvb.proportion,0.785483566076191
5000,9,2,lrvb.proportion,0.842460983117633
5000,10,2,lrvb.proportion,0.870429074126541
5000,12,2,lrvb.proportion,0.912018140645704
5000,15,2,lrvb.proportion,0.961473408755746
5000,18,2,lrvb.proportion,0.972502742162074
5000,22,2,lrvb.proportion,0.983238613534124
5000,2,2,gibbs.scaled,375.449848430478
5000,3,2,gibbs.scaled,38.8657613786763
5000,4,2,gibbs.scaled,24.3761385874157
5000,5,2,gibbs.scaled,20.4335910281429
5000,7,2,gibbs.scaled,22.875600713239
5000,8,2,gibbs.scaled,22.4873281369216
5000,9,2,gibbs.scaled,23.3995501901682
5000,10,2,gibbs.scaled,24.2158572552707
5000,12,2,gibbs.scaled,24.9691776528649
5000,15,2,gibbs.scaled,27.0907475404202
5000,18,2,gibbs.scaled,30.6083598476189
5000,22,2,gibbs.scaled,33.0370519861667
